fold,date,p_up,w
W3,2021-01-31,0.16134140166966304,1.9769929272104423
W3,2021-02-28,0.07095543147279622,1.6052177773049106
W3,2021-03-31,0.034723458695936016,1.998806138346989
W3,2021-04-30,0.018078464563437154,1.999989148203419
W3,2021-05-31,0.04616301201515343,1.9845083134393104
W3,2021-06-30,0.018773878501428108,1.9895610693667563
W3,2021-07-31,0.02137602560721494,1.991758793003652
W3,2021-08-31,0.013548404188166165,1.9985308218152618
W3,2021-09-30,0.05367787843644759,1.9644398944344839
W3,2021-10-31,0.030778008433462553,1.9514964961324894
W3,2021-11-30,0.036060829301931226,1.9706005090939729
W3,2021-12-31,0.016281399482413292,1.9825666767623602
W3,2022-01-31,0.056148518520766216,1.272577253140699
W3,2022-02-28,0.06590205171734333,1.0232792078987185
W3,2022-03-31,0.0175307752594896,1.716456953182389
W3,2022-04-30,0.061936540849528154,1.016798848654419
W3,2022-05-31,0.05806037770114747,1.0010407782711797
W3,2022-06-30,0.06325333282874485,1.000054082896531
W3,2022-07-31,0.051891206238476956,1.0048712582145085
W3,2022-08-31,0.08503800646162385,1.0140163853243234
W3,2022-09-30,0.08242040746986447,1.0000854828889187
W3,2022-10-31,0.1455671691309762,1.0027342690618053
W3,2022-11-30,0.059318793491748914,1.102049120778395
W3,2022-12-31,0.07818881532087689,1.3220718593647174
W3,2023-01-31,0.06536496748319968,1.2526115293469346
W3,2023-02-28,0.06556765080638531,1.422750861085649
W3,2023-03-31,0.05973215993158362,1.9280199653922823
W3,2023-04-30,0.019067276580668546,1.9253933919977833
W3,2023-05-31,0.014022463448302458,1.7834345364398323
W3,2023-06-30,0.017532003532327818,1.9966555737808855
W3,2023-07-31,0.018424370594793214,1.9925371006333665
W3,2023-08-31,0.020972887129287843,1.9896816653893201
W3,2023-09-30,0.024297222476573014,1.9188827285543169
W3,2023-10-31,0.022902154446029825,1.5330912903195484
W3,2023-11-30,0.054990641047707206,1.9779530828849734
W3,2023-12-31,0.019767894523884496,1.9892275839245008
W3,2024-01-31,0.014295788849477903,1.9683492032391707
W3,2024-02-29,0.012143624211670303,1.993995556000813
W3,2024-03-31,0.017831740075396816,1.9998306099963155
W3,2024-04-30,0.022580448334421587,1.9981349778311484
W3,2024-05-31,0.015170645773419766,1.9965437487071207
W3,2024-06-30,0.01998182050782275,1.9984000019132568
W3,2024-07-31,0.018379816539848614,1.9938963215845322
W3,2024-08-31,0.011143773050291989,1.94576275646761
W3,2024-09-30,0.010523614139034713,1.961789171074634
W3,2024-10-31,0.012814397347707528,1.9573021437787568
W3,2024-11-30,0.010851153652244053,1.9960008672894902
W3,2024-12-31,0.018360880434749115,1.9714068497388988
W3,2025-01-31,0.013065842511857821,1.9504785059952585
W3,2025-02-28,0.01457702008732809,1.8812961271779047
W3,2025-03-31,0.02316294217421546,1.7700977106396047
W3,2025-04-30,0.026223681508351193,1.0242072959528117
W3,2025-05-31,0.015368979245799528,1.2127226372366768
W3,2025-06-30,0.015850897594862665,1.9398301692004893
