feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_ws
ndx_6m_mean,W1,2.0198314233795953,1.035729999147437,1.7662671974823432,-0.8766588967492605,0.012895827746690838,0.034580112187462785,0.5523192916109042,0.6163375910495864,0.0,0.6163375910495864,6.929381122015665,0.8518518518518519
ndx_6m_mean,W2,1.729712089025273,0.7291128875767778,2.2133048873158656,-0.6504171542273308,0.011467681552165975,0.0332634135347467,0.5423679437371796,0.6268461072003753,0.15046437868006127,0.476381728520314,9.20580100285977,0.7851851851851852
ndx_6m_mean,W3,2.150760487891641,0.8550628289951807,1.2401010269760697,-0.759521308747263,0.007655924196150022,0.027897363006562283,0.5427846391263401,0.6755796718173457,-0.12827138301802968,0.8038510548353753,11.527904021386881,0.8703703703703703
ndx_3m_std,W1,1.7093967851117164,-1.3316184799286075,2.258770232696412,1.3529697044962061,0.06319796916536277,0.04182228714856349,0.5595312782087962,0.8695500994967738,0.0,0.8695500994967738,10.027613866799602,0.8888888888888888
ndx_3m_std,W2,1.8429164565542522,-1.0662541975138085,2.3292808689721287,1.4031374731221873,0.06181785598422567,0.042417015006781036,0.4937962417489909,0.32941743532986145,0.15046437868006127,0.17895305664980019,4.736836681433587,0.7425925925925926
ndx_3m_std,W3,2.140113310003388,-1.094134133721735,2.2319181646051516,0.31057928887092673,0.0515353830175383,0.03825350524159116,0.5950227436541663,0.6005391409531072,-0.12827138301802968,0.7288105239711369,10.021073653562041,0.6388888888888888
ndx_6m_std,W1,1.3718285957763732,-0.6519475624847985,2.638829029577507,0.8075558605692827,0.0679223540929776,0.03547897169966768,0.6412363588718156,0.7583430713954514,0.0,0.7583430713954514,8.499652582390693,0.8148148148148148
ndx_6m_std,W2,1.548406073549949,-0.7672670285437572,2.5072455285433213,0.6736900467206798,0.06526828212242791,0.03676093764817991,0.50191761092034,0.2544842921377759,0.15046437868006127,0.10401991345771464,3.5047831901169335,0.6046296296296296
ndx_6m_std,W3,2.118855321942623,-0.3391217612434544,1.9958997131411453,0.18426506791837674,0.05556589768705154,0.032505146259585185,0.5342309329101562,0.6008248500122545,-0.12827138301802968,0.7290962330302841,11.166082634629483,0.8435185185185184
vix_3m_mean,W1,1.6530144595022231,-0.7430665409947868,2.2469521705404794,1.230267086049934,20.310510594146088,7.6906333921824945,0.6376058092649037,0.6088467938013702,0.0,0.6088467938013702,6.832690556957255,0.8518518518518519
vix_3m_mean,W2,1.4171086434263473,-0.6069089823020073,2.1121215771648645,1.2013007816471495,20.965904612432585,7.540671904831338,0.5266536593797576,0.24757947066783853,0.15046437868006127,0.09711509198777726,3.7060367292613527,0.7444444444444445
vix_3m_mean,W3,1.3807506154653646,-0.7665012679108154,2.427503862086332,0.9084364450023952,19.80039206683789,8.083713028398908,0.7067988347455646,0.1514392319988091,-0.12827138301802968,0.2797106150168388,4.363681366082939,0.28148148148148155
vix_6m_mean,W1,2.0515810079991996,-0.8716529669597052,2.4359713395788964,1.2507408545505887,20.351996163092206,7.264979538483397,0.6633364152082225,0.6590377457309115,0.0,0.6590377457309115,7.156154946556925,0.8333333333333334
vix_6m_mean,W2,1.127303731078606,-0.5003829091204186,2.609832421545573,1.3642317752110378,20.929567252629017,7.034442305414894,0.5222966498433314,0.3374792010343396,0.15046437868006127,0.18701482235427833,4.83124426985071,0.7092592592592593
vix_6m_mean,W3,1.4245485074384099,-0.8101159551530289,2.775530238351817,1.361326471475938,19.78198522556456,7.448607515142913,0.6560205564359537,0.7385799223970849,-0.12827138301802968,0.8668513054151146,6.933383311961938,0.22962962962962974
vix_3m_std,W1,1.0195487305342232,-0.35828681909936844,2.7277309012923157,0.3240926271335198,2.038751967538042,2.365240490120859,0.4920484392276737,0.0,0.0,0.0,0.05464249393598575,0.0
vix_3m_std,W2,1.7047412990333544,-0.15272614515542685,2.4309722689986133,0.7267401002433432,2.2700627452310878,2.444300664129987,0.5026905783453731,0.1716872702837246,0.15046437868006127,0.021222891603663335,2.587754397729447,0.49074074074074076
vix_3m_std,W3,1.7347232782449586,-0.9046106282547418,2.574314788883323,0.7233248955721311,2.542149512530432,3.0491221867801377,0.6758672940788923,0.31340926830786203,-0.12827138301802968,0.44168065132589174,6.424271328095177,0.42685185185185187
vix_6m_std,W1,1.1190331153657962,-0.45446490971720593,2.7994748572507877,0.8450809516658638,2.8427030309088743,2.7867561453853633,0.5647626710043434,0.0,0.0,0.0,0.05464249393598575,0.0
vix_6m_std,W2,1.2149407641486334,-0.5657953495632309,2.5896320336248766,0.7471862779198897,3.1662289050836536,2.847451646330232,0.5090695195954038,0.7134073949755193,0.15046437868006127,0.5629430162954581,4.339123851870874,0.2694444444444444
vix_6m_std,W3,2.541341857456922,-0.317277866767537,1.3133026012634175,0.07571098871929972,3.536378052775759,3.425046269933304,0.49901799371349487,0.5056149589880525,-0.12827138301802968,0.6338863420060822,10.68017142994966,1.0
