month,date,agent_id,parent_id,alpha,beta,lam
107,2019-12-31,392,266,2.9725586833523097,0.27744131664769034,0.09333417644586424
119,2020-12-31,393,238,3.0,0.25,0.08333333333333333
119,2020-12-31,394,266,2.3914725653407682,0.8585274346592318,0.3589953098779946
119,2020-12-31,395,249,2.3069689690102066,0.9430310309897934,0.4087749092673735
119,2020-12-31,396,300,2.0251050715191674,1.2248949284808326,0.6048550002207819
119,2020-12-31,397,261,2.8584671899084992,0.39153281009150076,0.13697299429350243
119,2020-12-31,398,256,3.0,0.25,0.08333333333333333
119,2020-12-31,399,237,3.0,0.25,0.08333333333333333
119,2020-12-31,400,222,2.9153834100272578,0.33461658997274224,0.11477618649466545
119,2020-12-31,401,230,2.699030299592715,0.5509697004072849,0.20413616715989683
119,2020-12-31,402,260,3.0,0.25,0.08333333333333333
119,2020-12-31,403,258,2.841995089305521,0.408004910694479,0.14356284858823606
119,2020-12-31,404,223,2.153923156875688,1.0960768431243122,0.508874627038318
119,2020-12-31,405,231,2.9461165758505623,0.3038834241494377,0.10314711462553197
119,2020-12-31,406,215,2.706837780009108,0.5431622199908919,0.2006630112828794
119,2020-12-31,407,245,2.211623438040025,1.038376561959975,0.4695087527559395
119,2020-12-31,408,262,2.598053578144801,0.6519464218551989,0.25093648080989
119,2020-12-31,409,250,2.476206485973468,0.773793514026532,0.3124915141001787
119,2020-12-31,410,225,2.768325755067477,0.4816742449325231,0.1739947851335084
