paper_row,label,fold,seed,full_nll_sp_raw,tail_nll_sp_raw,sp_log_sigma,ckpt_exists,ckpt_path
6,Stage 2 (PriceGenerator),F1,42,-2.396106004714966,-0.6654731035232544,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F1_seed42_best.pt
6,Stage 2 (PriceGenerator),F1,123,-2.5428309440612793,-1.5799810886383057,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F1_seed123_best.pt
6,Stage 2 (PriceGenerator),F1,777,-2.1748569011688232,-0.3983275890350342,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F1_seed777_best.pt
6,Stage 2 (PriceGenerator),F1,0,-0.6194642186164856,2.0636541843414307,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F1_seed0_best.pt
6,Stage 2 (PriceGenerator),F1,99,-2.041877269744873,0.3007562756538391,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F1_seed99_best.pt
6,Stage 2 (PriceGenerator),F2,42,-2.4145667552948,-2.0609350204467773,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F2_seed42_best.pt
6,Stage 2 (PriceGenerator),F2,123,-2.4868662357330322,-2.321549892425537,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F2_seed123_best.pt
6,Stage 2 (PriceGenerator),F2,777,-2.4551682472229004,-2.2546801567077637,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F2_seed777_best.pt
6,Stage 2 (PriceGenerator),F2,0,-2.521122455596924,-2.3108160495758057,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F2_seed0_best.pt
6,Stage 2 (PriceGenerator),F2,99,-2.5160634517669678,-2.417370080947876,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F2_seed99_best.pt
6,Stage 2 (PriceGenerator),F3,42,-2.46065616607666,-2.4888601303100586,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F3_seed42_best.pt
6,Stage 2 (PriceGenerator),F3,123,-2.461498498916626,-2.4857170581817627,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F3_seed123_best.pt
6,Stage 2 (PriceGenerator),F3,777,-2.496143341064453,-2.506084442138672,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F3_seed777_best.pt
6,Stage 2 (PriceGenerator),F3,0,-2.4070260524749756,-2.415214776992798,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F3_seed0_best.pt
6,Stage 2 (PriceGenerator),F3,99,-2.50740385055542,-2.507103681564331,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage2_normsr_F3_seed99_best.pt
7,Stage 2 (대조군),F1,42,-2.723336935043335,-2.1985371112823486,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F1_seed42_best.pt
7,Stage 2 (대조군),F1,123,-1.3190780878067017,1.6793022155761719,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F1_seed123_best.pt
7,Stage 2 (대조군),F1,777,-2.2316248416900635,-0.50685054063797,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F1_seed777_best.pt
7,Stage 2 (대조군),F1,0,-2.685178279876709,-1.9650770425796509,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F1_seed0_best.pt
7,Stage 2 (대조군),F1,99,-2.7664854526519775,-2.03454852104187,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F1_seed99_best.pt
7,Stage 2 (대조군),F2,42,-2.460601806640625,-2.3604438304901123,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F2_seed42_best.pt
7,Stage 2 (대조군),F2,123,-2.5194475650787354,-2.406879425048828,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F2_seed123_best.pt
7,Stage 2 (대조군),F2,777,-2.5012409687042236,-2.4475250244140625,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F2_seed777_best.pt
7,Stage 2 (대조군),F2,0,-2.4367027282714844,-2.327559232711792,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F2_seed0_best.pt
7,Stage 2 (대조군),F2,99,-2.517148971557617,-2.3930914402008057,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F2_seed99_best.pt
7,Stage 2 (대조군),F3,42,-2.4609029293060303,-2.4597485065460205,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F3_seed42_best.pt
7,Stage 2 (대조군),F3,123,-2.5055041313171387,-2.5022363662719727,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F3_seed123_best.pt
7,Stage 2 (대조군),F3,777,-2.4253952503204346,-2.443653106689453,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F3_seed777_best.pt
7,Stage 2 (대조군),F3,0,-2.4440791606903076,-2.4439096450805664,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F3_seed0_best.pt
7,Stage 2 (대조군),F3,99,-2.403395891189575,-2.4147989749908447,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/singlestage_normsr_F3_seed99_best.pt
8,"MTL(2 채널, liq)",F1,42,-2.683377265930176,-2.050163984298706,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F1_seed42_best.pt
8,"MTL(2 채널, liq)",F1,123,-2.7112233638763428,-1.8891305923461914,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F1_seed123_best.pt
8,"MTL(2 채널, liq)",F1,777,-2.5934269428253174,-1.886295199394226,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F1_seed777_best.pt
8,"MTL(2 채널, liq)",F1,0,-2.5103442668914795,-1.4089974164962769,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F1_seed0_best.pt
8,"MTL(2 채널, liq)",F1,99,-2.713650703430176,-2.109931468963623,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F1_seed99_best.pt
8,"MTL(2 채널, liq)",F2,42,-2.489513874053955,-2.2261335849761963,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F2_seed42_best.pt
8,"MTL(2 채널, liq)",F2,123,-2.525745391845703,-2.4263038635253906,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F2_seed123_best.pt
8,"MTL(2 채널, liq)",F2,777,-2.3939194679260254,-2.288926839828491,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F2_seed777_best.pt
8,"MTL(2 채널, liq)",F2,0,-2.5049452781677246,-2.4354937076568604,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F2_seed0_best.pt
8,"MTL(2 채널, liq)",F2,99,-2.4845669269561768,-2.372852087020874,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F2_seed99_best.pt
8,"MTL(2 채널, liq)",F3,42,-2.422832727432251,-2.4176185131073,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F3_seed42_best.pt
8,"MTL(2 채널, liq)",F3,123,-2.4751968383789062,-2.4743025302886963,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F3_seed123_best.pt
8,"MTL(2 채널, liq)",F3,777,-2.5036752223968506,-2.5004093647003174,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F3_seed777_best.pt
8,"MTL(2 채널, liq)",F3,0,-2.4644789695739746,-2.4576833248138428,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F3_seed0_best.pt
8,"MTL(2 채널, liq)",F3,99,-2.277977466583252,-2.2832422256469727,-3.7166989015379808,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/joint_normsr_F3_seed99_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F1,42,-2.602005958557129,-1.792156457901001,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F1_seed42_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F1,123,-2.568326234817505,-1.6798601150512695,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F1_seed123_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F1,777,-2.5921683311462402,-1.9830735921859741,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F1_seed777_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F1,0,-2.304978370666504,-1.4683046340942383,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F1_seed0_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F1,99,-2.5171966552734375,-1.5630639791488647,-3.6003701895427023,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F1_seed99_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F2,42,-2.5440664291381836,-2.400874614715576,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F2_seed42_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F2,123,-2.5254292488098145,-2.3871371746063232,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F2_seed123_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F2,777,-2.460120439529419,-2.3268373012542725,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F2_seed777_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F2,0,-2.4848432540893555,-2.238722562789917,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F2_seed0_best.pt
9,"MTL(2 채널, vix정규) [no-liq]",F2,99,-2.4761552810668945,-2.3550093173980713,-3.6564609451987273,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/mtl_2ch_vix_noliq_normvix_normsr_F2_seed99_best.pt
