date,margin_debt,cash_credit,margin_credit,net_margin,margin_chg,sp_ret
2019-10-01,554604,145650,183966.0,224988.0,-0.002349301145868954,0.017181177931020697
2019-11-01,563482,146935,186866.0,229681.0,0.016007818190997503,0.020431770513684056
2019-12-01,579221,151543,186315.0,241363.0,0.027931681934826758,0.034047037714499906
2020-01-01,561812,152854,186847.0,222111.0,-0.030055885404707383,0.02858981890573009
2020-02-01,545127,163001,197716.0,184410.0,-0.02969854684485207,-0.0016280928190489652
2020-03-01,479291,191046,226202.0,62043.0,-0.12077185683336178,-0.08411048363840312
2020-04-01,524696,180942,217187.0,126567.0,0.09473367953915268,-0.12511928240892822
2020-05-01,552543,175794,210935.0,165814.0,0.05307263634561732,0.1268440381652789
2020-06-01,584676,185497,229078.0,170101.0,0.058154749947062934,0.04528181966555822
2020-07-01,613830,181420,223768.0,208642.0,0.049863514151427424,0.01838839651392421
2020-08-01,645547,185113,215042.0,245392.0,0.051670657999771885,0.055101321480443666
2020-09-01,654324,189462,211547.0,253315.0,0.01359622149897688,0.07006466690171775
2020-10-01,659313,193293,217739.0,248281.0,0.0076246630109853,-0.039227970178423055
2020-11-01,722118,200723,221567.0,299828.0,0.09525824608342326,-0.027665786221379718
2020-12-01,778037,224987,227127.0,325923.0,0.0774374825167079,0.10754563544385909
2021-01-01,798605,224133,241220.0,333252.0,0.026435760767161476,0.03712145909357001
2021-02-01,813680,220840,240481.0,352359.0,0.01887666618666306,-0.011136660755445171
2021-03-01,822551,219522,237154.0,365875.0,0.010902320322485393,0.026091451377448394
2021-04-01,847186,218132,233145.0,395909.0,0.029949510729425866,0.042438632533165155
2021-05-01,861626,213356,234992.0,413278.0,0.017044663155434625,0.05242532134755851
2021-06-01,882103,221862,239290.0,420951.0,0.023765531680798757,0.00548648867060697
2021-07-01,844324,215463,195762.0,433099.0,-0.04282833183879886,0.022214009565834747
2021-08-01,911545,219365,198913.0,493267.0,0.07961517142708252,0.02274805482838871
2021-09-01,903117,229279,205564.0,468274.0,-0.00924584085261837,0.028990416255438634
2021-10-01,935862,226159,200548.0,509155.0,0.03625776062237773,-0.047569168801901096
2021-11-01,918598,235638,211623.0,471337.0,-0.01844716421865622,0.0691438364006065
2021-12-01,910021,250435,215116.0,444470.0,-0.009337054946777612,-0.008333706184746159
2022-01-01,829637,247752,194545.0,387340.0,-0.088332027502662,0.04361291346206486
2022-02-01,835255,250686,195269.0,389300.0,0.006771636269838455,-0.052585165027393854
2022-03-01,799660,256076,196008.0,347576.0,-0.042615728130930064,-0.031360491945908286
2022-04-01,772940,242724,188652.0,341564.0,-0.033414201035440017,0.03577328837154625
2022-05-01,752944,244857,184151.0,323936.0,-0.025870054596734526,-0.08795671180434306
2022-06-01,683445,249399,186931.0,247115.0,-0.09230301323870038,5.317770464463578e-05
2022-07-01,696781,232147,177054.0,287580.0,0.019512908866112122,-0.08391999993382682
2022-08-01,687787,226182,175974.0,285631.0,-0.012907929464207601,0.09111639173021002
2022-09-01,664009,223400,173050.0,267559.0,-0.0345717496841319,-0.04244012827299837
2022-10-01,649618,216057,172976.0,260585.0,-0.02167289901191094,-0.09339567201327437
2022-11-01,643783,205158,165434.0,273191.0,-0.008982201847855253,0.0798634138370089
2022-12-01,606659,205902,164065.0,236692.0,-0.05766539346332533,0.053752893352493114
2023-01-01,641228,208720,161224.0,271284.0,0.05698258824149982,-0.05897147407473047
2023-02-01,624379,198644,159103.0,266632.0,-0.02627614514650012,0.0617528578346791
2023-03-01,645429,191618,152014.0,301797.0,0.0337134977313458,-0.02611249393181858
2023-04-01,631949,175460,145594.0,310895.0,-0.02088533363080991,0.03505161257710898
2023-05-01,644170,178576,147377.0,318217.0,0.019338585866897517,0.014642341662481018
2023-06-01,681228,181569,145173.0,354486.0,0.057528292220997646,0.002482347368192972
2023-07-01,709834,174804,147921.0,387109.0,0.04199181478154146,0.06472746490423464
2023-08-01,689185,177711,145989.0,365485.0,-0.029089899892087434,0.031138932355010862
2023-09-01,680846,153918,141751.0,385177.0,-0.012099799037994186,-0.017716390070854016
2023-10-01,635276,162865,142117.0,330294.0,-0.06693143530255008,-0.048719367465624885
2023-11-01,660887,171207,146319.0,343361.0,0.04031476082836427,-0.02197968873798295
2023-12-01,700774,161639,147019.0,392116.0,0.06035373672049826,0.08917926878197013
2024-01-01,701975,165025,144941.0,392009.0,0.0017138192912409256,0.04422923115636013
2024-02-01,742963,166144,150620.0,426199.0,0.05838954378717198,0.015895707598991615
2024-03-01,784136,166990,151339.0,465807.0,0.05541729534310602,0.05172064062372317
2024-04-01,775464,161749,149855.0,463860.0,-0.011059306038748384,0.031018779915342964
2024-05-01,809431,155256,145072.0,509103.0,0.04380216231830225,-0.04161507173789869
2024-06-01,809322,157240,149714.0,502368.0,-0.00013466249748284032,0.0480211901511991
2024-07-01,810835,154951,150738.0,505146.0,0.001869466046888535,0.03466980128308328
2024-08-01,797162,148702,152107.0,496353.0,-0.016862863591236232,0.011321316887868749
2024-09-01,813211,167901,158358.0,486952.0,0.020132670649127826,0.022834706936630367
2024-10-01,815369,173621,164813.0,476935.0,0.0026536778277717055,0.020196884090601275
2024-11-01,890852,170052,167223.0,553577.0,0.09257526346966838,-0.009896743303151712
2024-12-01,899168,181280,175795.0,542093.0,0.009334883908887148,0.057301295482098835
2025-01-01,937253,178301,166346.0,592606.0,0.04235582227125523,-0.02499013704848363
2025-02-01,918144,183278,176051.0,558815.0,-0.020388304972083326,0.0270163042404441
2025-03-01,880316,189855,176161.0,514300.0,-0.041200508852641815,-0.014242092699825126
2025-04-01,850558,187958,175824.0,486776.0,-0.03380377046424243,-0.05754469768137538
2025-05-01,920960,187685,176698.0,556577.0,0.08277154526793007,-0.007624943346289825
2025-06-01,1007961,200573,185584.0,621804.0,0.09446772932592085,0.06152382614078289
